Title,Genre
Dungeons & Dragons (2000),Action|Adventure|Fantasy
Proof of Life (2000),Action|Drama|Thriller
Vertical Limit (2000),Action|Adventure|Drama
The Bounty (1984),Action|Adventure|Drama
Code of Silence (1985),Action|Crime|Drama
"Planes, Trains & Automobiles (1987)",Comedy
She's Having a Baby (1988),Comedy|Drama|Romance
Secrets of the Heart (1997),Drama
The Living Daylights (1987),Action|Adventure|Thriller
The Transformers: The Movie (1986),Animation|Action|Adventure
Wall Street (1987),Crime|Drama
Born on the Fourth of July (1989),Biography|Drama|War
Talk Radio (1988),Drama
Brewster's Millions (1985),Comedy
Snatch (2000),Comedy|Crime
Punchline (1988),Comedy|Drama|Romance
Mr. Accident (2000),Comedy
Chocolat (2000),Drama|Romance
"Dude, Where's My Car? (2000)",Comedy|Mystery|Sci-Fi
The Emperor's New Groove (2000),Animation|Adventure|Comedy
Pollock (2000),Biography|Drama
What Women Want (2000),Comedy|Fantasy|Romance
Finding Forrester (2000),Drama
The Gift (2000),Drama|Fantasy|Horror
Before Night Falls (2000),Biography|Drama|Romance
Cast Away (2000),Adventure|Drama|Romance
The Family Man (2000),Comedy|Drama|Fantasy
The House of Mirth (2000),Romance|Drama
Miss Congeniality (2000),Action|Comedy|Crime
Nowhere to Hide (1999),Action|Comedy|Crime
"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime
Songcatcher (2000),Drama|Music
State and Main (2000),Comedy|Drama
Dracula 2000 (2000),Action|Fantasy|Horror
All the Pretty Horses (2000),Drama|Romance|Western
An Everlasting Piece (2000),Comedy
Thirteen Days (2000),Drama|History|Thriller
Traffic (2000),Crime|Drama|Thriller
The Claim (2000),Drama|Romance|Western
Shadow of the Vampire (2000),Drama|Horror
House of Games (1987),Crime|Thriller
Kill Me Again (1989),Action|Crime|Drama
Annie (1982),Comedy|Drama|Family
Don't Tell Mom the Babysitter's Dead (1991),Comedy
An Officer and a Gentleman (1982),Drama|Romance
The Alamo (1960),Adventure|Drama|History
At Close Range (1986),Crime|Drama
Breaker! Breaker! (1977),Action|Adventure|Crime
Breakheart Pass (1975),Mystery|Western
Friendly Persuasion (1956),Drama|Romance|War
Gettysburg (1993),Drama|History|War
Imaginary Crimes (1994),Biography|Drama
Rancho Deluxe (1975),Comedy|Romance|Western
The St. Francisville Experiment (2000),Horror|Mystery|Thriller
Body in the Web (1960),Horror
Antitrust (2001),Action|Crime|Drama
Double Take (2001),Action|Comedy|Crime
Save the Last Dance (2001),Drama|Music|Romance
Panic (2000),Comedy|Crime|Drama
The Pledge (2001),Crime|Drama|Mystery
Kids World (2001),Adventure|Comedy|Family
Zheng hun qi shi (1998),Comedy|Drama|Romance
The Amati Girls (2000),Drama
Love Field (1992),Drama
The Man in the Moon (1991),Drama|Romance
Mystic Pizza (1988),Comedy|Drama|Romance
Prelude to a Kiss (1992),Comedy|Fantasy|Romance
Coffy (1973),Action|Crime|Thriller
Foxy Brown (1974),Action|Crime|Thriller
I'm Gonna Git You Sucka (1988),Action|Comedy|Crime
Untamed Heart (1993),Comedy|Drama|Romance
Sugar & Spice (2001),Comedy|Crime
The Wedding Planner (2001),Comedy|Romance
Amy (1997),Drama|Music
Dog Run (1996),Drama
Trolí_sa (2000),Drama|Romance
The Invisible Circus (2001),Drama
The Legend of Rita (2000),Drama|Romance
Le chí¢teau des singes (1999),Animation|Adventure|Family
Two Ninas (1999),Romance|Comedy
With a Friend Like Harry... (2000),Comedy|Drama|Mystery
Amazing Grace and Chuck (1987),Drama|Sport
Amazon Women on the Moon (1987),Comedy|Sci-Fi
Baby Boom (1987),Comedy|Drama|Romance
Back to the Beach (1987),Comedy|Musical
Barfly (1987),Comedy|Drama|Romance
Best Seller (1987),Action|Crime|Drama
Beverly Hills Cop II (1987),Action|Comedy|Crime
Beverly Hills Cop (1984),Action|Comedy|Crime
The Big Easy (1986),Comedy|Crime|Drama
Big Shots (1987),Adventure|Comedy|Crime
The Big Town (1987),Drama|Romance|Thriller
Born in East L.A. (1987),Comedy
The Brave Little Toaster (1987),Animation|Adventure|Comedy
Can't Buy Me Love (1987),Comedy|Drama|Romance
Cherry 2000 (1987),Action|Adventure|Comedy
Cop (1988),Crime|Drama|Mystery
Critical Condition (1987),Comedy
Cry Freedom (1987),Biography|Drama|History
The Curse (1987),Sci-Fi|Horror
Dead of Winter (1987),Drama|Horror|Thriller
The Dead (1987),Drama
Death Before Dishonor (1987),Action|Drama
Disorderlies (1987),Comedy
Dogs in Space (1986),Drama
Eddie Murphy: Raw (1987),Documentary|Comedy
Empire of the Sun (1987),Drama|History|War
Ernest Goes to Camp (1987),Family|Comedy
The Evil Dead (1981),Horror
Extreme Prejudice (1987),Action|Crime|Drama
Family Viewing (1987),Drama
Five Corners (1987),Crime|Drama|Thriller
Flowers in the Attic (1987),Drama|Mystery|Thriller
The Fourth Protocol (1987),Thriller
Gardens of Stone (1987),Drama|War|Romance
Julia and Julia (1987),Drama|Fantasy|Romance
The Glass Menagerie (1987),Drama
Good morning Babilonia (1987),Drama|Romance|War
Hiding Out (1987),Comedy|Drama|Romance
Hollywood Shuffle (1987),Comedy
Hope and Glory (1987),Comedy|Drama|Romance
Hot Pursuit (1987),Comedy
Housekeeping (1987),Comedy|Drama
Hunk (1987),Comedy|Fantasy
Innerspace (1987),Action|Adventure|Comedy
Ironweed (1987),Drama
Ishtar (1987),Action|Adventure|Comedy
Jaws: The Revenge (1987),Adventure|Horror|Thriller
Leonard Part 6 (1987),Action|Comedy|Sci-Fi
Less Than Zero (1987),Crime|Drama
Like Father Like Son (1987),Comedy|Fantasy
The Lost Boys (1987),Comedy|Horror
Made in Heaven (1987),Comedy|Fantasy|Romance
Maid to Order (1987),Fantasy|Comedy
Making Mr. Right (1987),Comedy|Romance|Sci-Fi
Mannequin (1987),Comedy|Fantasy|Romance
Masters of the Universe (1987),Action|Adventure|Fantasy
Million Dollar Mystery (1987),Comedy|Mystery
The Monster Squad (1987),Action|Comedy|Family
A Month in the Country (1987),Drama
Morgan Stewart's Coming Home (1987),Comedy
My Demon Lover (1987),Comedy|Fantasy|Horror
No Man's Land (1987),Crime|Drama|Thriller
North Shore (1987),Action|Drama|Romance
Head Over Heels (2001),Comedy|Mystery|Romance
Left Behind: The Movie (2000),Action|Drama|Fantasy
Valentine (2001),Horror|Mystery|Thriller
In the Mood for Love (2000),Drama|Romance
Fever (1999),Drama|Mystery|Thriller
The Million Dollar Hotel (2000),Drama|Mystery|Thriller
Nico and Dani (2000),Comedy|Drama|Romance
Hannibal (2001),Crime|Drama|Thriller
Saving Silverman (2001),Comedy|Crime|Romance
Signs & Wonders (2000),Drama
The Taste of Others (2000),Comedy|Drama|Romance
Vatel (2000),Biography|Drama|Romance
Down to Earth (2001),Comedy|Fantasy
Recess: School's Out (2001),Animation|Family|Comedy
Sweet November (2001),Drama|Romance
Company Man (2000),Comedy
The Price of Milk (2000),Comedy|Drama|Fantasy
Monkeybone (2001),Animation|Comedy|Fantasy
3000 Miles to Graceland (2001),Action|Comedy|Crime
La veuve de Saint-Pierre (2000),Drama|History|Romance
The Mexican (2001),Adventure|Comedy|Crime
See Spot Run (2001),Action|Comedy|Crime
Carman: The Champion (2001),Action|Drama|Sport
The Caveman's Valentine (2001),Crime|Drama|Music
Me You Them (2000),Drama|Comedy|Romance
Series 7: The Contenders (2001),Comedy|Thriller
15 Minutes (2001),Action|Crime|Drama
Get Over It (2001),Comedy|Romance
Blow Dry (2001),Comedy|Drama|Romance
Hit and Runway (1999),Comedy|Drama|Romance
Long Night's Journey Into Day (2000),Documentary
Simon Magus (1999),Mystery|Fantasy|Romance
When Brendan Met Trudy (2000),Comedy|Romance
Avalon (1990),Drama
Gray's Anatomy (1996),Comedy|Drama
Maadadayo (1993),Drama
The Mirror Crack'd (1980),Crime|Mystery|Thriller
Of Mice and Men (1939),Drama
Pixote (1981),Crime|Drama
Reform School Girls (1986),Drama|Thriller|Crime
Tapeheads (1988),Comedy|Music
Tuff Turf (1985),Action|Drama
The Unbelievable Truth (1989),Comedy|Drama|Romance
The Bishop's Wife (1947),Comedy|Drama|Fantasy
Elvis: That's the Way It Is (1970),Documentary|Music
The Fortune Cookie (1966),Comedy|Romance
Lilies of the Field (1963),Drama
Hans Christian Andersen (1952),Biography|Family|Musical
The Greatest Story Ever Told (1965),Biography|Drama|History
Elmer Gantry (1960),Drama
Alfie (1966),Comedy|Drama
Demetrius and the Gladiators (1954),Action|Drama|History
The Fantasticks (1995),Musical|Romance
'I Know Where I'm Going!' (1945),Drama|Romance
The Abominable Dr. Phibes (1971),Comedy|Horror
"Die, Monster, Die! (1965)",Mystery|Horror|Sci-Fi
Real Life (1979),Comedy
Battle Beyond the Stars (1980),Action|Adventure|Sci-Fi
Death Warrant (1990),Action|Crime|Mystery
Double Impact (1991),Action|Crime
The End (1978),Comedy|Drama
Fuzz (1972),Action|Comedy|Crime
Harley Davidson and the Marlboro Man (1991),Action|Crime|Drama
Losin' It (1983),Comedy|Drama
Mermaids (1990),Comedy|Drama|Romance
The Mighty Quinn (1989),Action|Crime|Drama
Navy Seals (1990),Action|Adventure|Thriller
Unmade Beds (1997),Documentary|Comedy|Drama
Rated X (2000),Biography|Drama
Manhunter (1986),Crime|Horror|Mystery
Reversal of Fortune (1990),Biography|Drama|Mystery
Death on the Nile (1978),Crime|Drama|Mystery
DeepStar Six (1989),Action|Horror|Sci-Fi
Revenge of the Nerds (1984),Comedy
Revenge of the Nerds II: Nerds in Paradise (1987),Comedy
Longtime Companion (1989),Drama|Romance
4 Little Girls (1997),Documentary|History
River's Edge (1986),Crime|Drama
Girls Just Want to Have Fun (1985),Comedy|Music|Romance
The Longest Yard (1974),Comedy|Crime|Drama
Necessary Roughness (1991),Comedy|Sport
C.H.U.D. (1984),Horror|Sci-Fi
Enemy at the Gates (2001),Drama|History|War
Exit Wounds (2001),Action|Comedy|Crime
The Dish (2000),Comedy|Drama|History
Memento (2000),Mystery|Thriller
The Brothers (2001),Comedy|Drama
Heartbreakers (2001),Comedy|Crime|Romance
Say It Isn't So (2001),Comedy|Romance
Too Much Sleep (1997),Comedy|Mystery
Someone Like You... (2001),Comedy|Romance
Spy Kids (2001),Action|Adventure|Comedy
Tomcats (2001),Comedy
The Tailor of Panama (2001),Comedy|Drama|Thriller
Amores Perros (2000),Drama|Thriller
Keep the River on Your Right: A Modern Cannibal Tale (2000),Documentary|Adventure|Romance
Les glaneurs et la glaneuse (2000),Documentary
Along Came a Spider (2001),Crime|Drama|Thriller
Blow (2001),Biography|Crime|Drama
Just Visiting (2001),Comedy|Fantasy|Sci-Fi
Pokí©mon 3: The Movie (2000),Animation|Action|Adventure
Beautiful Creatures (2000),Comedy|Thriller|Crime
Brigham City (2001),Crime|Drama|Mystery
Roozi ke zan shodam (2000),Comedy|Drama
Shadow Magic (2000),Drama|History|Romance
Bridget Jones's Diary (2001),Comedy|Drama|Romance
Joe Dirt (2001),Adventure|Comedy|Drama
Josie and the Pussycats (2001),Comedy|Music
Kingdom Come (2001),Comedy|Drama|Family
The Body (2001),Drama|Mystery|Romance
Chopper (2000),Biography|Crime|Drama
Dayereh (2000),Drama
Lakeboat (2000),Drama
Crocodile Dundee in Los Angeles (2001),Adventure|Comedy|Crime
Freddy Got Fingered (2001),Comedy
The Center of the World (2001),Drama|Romance
The Girl (2000),Drama|Mystery|Romance
The Low Down (2000),Drama
The Luzhin Defence (2000),Drama|Romance
The Visit (2000),Drama
Lilies - Les feluettes (1996),Crime|Drama|Fantasy
Scarface (1983),Crime|Drama
Days of Wine and Roses (1962),Drama
Driven (2001),Action|Drama|Sport
The Forsaken (2001),Horror|Thriller
One Night at McCool's (2001),Comedy|Crime
Town & Country (2001),Comedy|Romance
Rat (2000),Comedy|Drama|Family
The Mummy Returns (2001),Action|Adventure|Fantasy
Yurí¬ka (2000),Drama
Tuvalu (1999),Comedy|Drama|Romance
Under the Sand (2000),Drama|Mystery
Cleopatra (1963),Biography|Drama|History
Krull (1983),Action|Adventure|Fantasy
Lost in America (1985),Comedy
The Lost World (1925),Adventure|Fantasy
Triumph of the Will (1935),Documentary|History|War
True Believer (1989),Drama|Crime
The World According to Garp (1982),Comedy|Drama
Candy (1968),Adventure|Comedy|Fantasy
Fellini - Satyricon (1969),Drama|Fantasy|History
Roma (1972),Comedy|Drama
Frankie and Johnny (1966),Comedy|Musical|Romance
Frankie and Johnny (1991),Comedy|Drama|Romance
A Home of Our Own (1993),Biography|Drama
Paris When It Sizzles (1964),Comedy|Romance
Pola X (1999),Drama|Romance
City of Women (1980),Comedy|Drama
For the Boys (1991),Comedy|Drama|Music
9 to 5 (1980),Comedy
Norma Rae (1979),Drama
Summer Rental (1985),Comedy
"The 5,000 Fingers of Dr. T. (1953)",Family|Fantasy|Music
Catchfire (1990),Action|Comedy|Crime
Love Story (1970),Drama|Romance
Pelle the Conqueror (1987),Drama
Rififi (1955),Crime|Thriller
A Knight's Tale (2001),Action|Adventure|Romance
Bread and Roses (2000),Drama
Calle 54 (2000),Documentary|Music
The King Is Alive (2000),Drama
Sordid Lives (2000),Comedy|Romance
Startup.com (2001),Documentary
Angel Eyes (2001),Drama|Romance
Shrek (2001),Animation|Adventure|Comedy
Fast Food Fast Women (2000),Comedy|Romance
Moulin Rouge! (2001),Drama|Musical|Romance
Petits fríÂres (1999),Comedy|Drama
Pearl Harbor (2001),Action|Drama|History
1732 HíŸtten (1998),Thriller
Himalaya (1999),Drama
The Man Who Cried (2000),Drama|Music|Romance
Our Song (2000),Drama
Gabriela (2001),Drama|Romance
Ice Castles (1978),Drama|Romance|Sport
Love Potion No. 9 (1992),Comedy|Fantasy|Romance
Postcards from the Edge (1990),Comedy|Drama
Apache (1954),Western
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson (1976)",Comedy|Western
City Slickers (1991),Comedy
Eight Men Out (1988),Drama|History|Sport
The Horse Soldiers (1959),Adventure|Romance|War
The Kentuckian (1955),Drama|Western
La Notte (1961),Drama
Mississippi Burning (1988),Crime|Drama|History
The Magnificent Seven (1960),Action|Adventure|Western
Return of the Magnificent Seven (1966),Action|Western
Rio Bravo (1959),Action|Drama|Western
The Scarlet Empress (1934),Drama|History|Romance
Semi-Tough (1977),Comedy|Romance|Sport
Suspect (1987),Crime|Drama|Thriller
Throw Momma from the Train (1987),Comedy|Crime|Thriller
Yi Yi (2000),Drama|Romance
Midnight Madness (1980),Comedy
Nattevagten (1994),Horror|Thriller
The Sand Pebbles (1966),Adventure|Drama|Romance
Twelve O'Clock High (1949),Drama|War
Von Ryan's Express (1965),Action|Adventure|War
The Animal (2001),Comedy|Sci-Fi
What's the Worst That Could Happen? (2001),Comedy|Crime
Big Eden (2000),Comedy|Drama|Romance
Evolution (2001),Comedy|Sci-Fi
Swordfish (2001),Action|Crime|Thriller
The Anniversary Party (2001),Comedy|Drama|Romance
Bride of the Wind (2001),Biography|Drama|Music
Musí_me si pomíçhat (2000),Comedy|Drama|War
Whatever Happened to Harold Smith? (1999),Comedy
Catch-22 (1970),Comedy|Drama|War
Forgotten Silver (1995),Comedy
Point Break (1991),Action|Crime|Drama
Shag (1989),Comedy|Drama|Romance
Uncommon Valor (1983),Action|Drama|Thriller
Unlawful Entry (1992),Crime|Drama|Thriller
Youngblood (1986),Drama|Romance|Sport
Gentlemen Prefer Blondes (1953),Comedy|Crime|Musical
How to Marry a Millionaire (1953),Comedy|Drama|Romance
Macabre (1958),Horror|Thriller
The Seven Year Itch (1955),Comedy|Romance
There's No Business Like Show Business (1954),Comedy|Drama|Musical
Tootsie (1982),Comedy|Drama|Romance
The Boys Next Door (1985),Crime|Drama|Thriller
Too Late the Hero (1970),Action|War|Drama
The Trio (1998),Comedy|Crime|Romance
Pavilion of Women (2001),Drama|Romance|War
Atlantis: The Lost Empire (2001),Animation|Action|Adventure
Lara Croft: Tomb Raider (2001),Action|Adventure|Fantasy
Dr. Dolittle 2 (2001),Comedy|Family|Fantasy
The Fast and the Furious (2001),Action|Crime|Thriller
A.I. Artificial Intelligence (2001),Adventure|Drama|Sci-Fi
Baby Boy (2001),Crime|Drama|Romance
Crazy/Beautiful (2001),Drama|Romance
Pootie Tang (2001),Comedy|Musical|Adventure
Let It Snow (1999),Comedy|Romance
The Adventures of Felix (2000),Comedy|Drama|Romance
Down from the Mountain (2000),Documentary|Music
Russian Doll (2001),Comedy|Drama|Romance
Sexy Beast (2000),Crime|Thriller
"South of Heaven, West of Hell (2000)",Drama|Western
The Princess and the Warrior (2000),Drama|Mystery|Romance
Le placard (2001),Comedy
Wolves (1999),Documentary|Short
The Crimson Rivers (2000),Crime|Mystery|Thriller
Lumumba (2000),Biography|Drama|History
Pandaemonium (2000),Biography|Drama
Cats & Dogs (2001),Action|Comedy|Family
Kiss of the Dragon (2001),Action|Crime|Drama
Scary Movie 2 (2001),Comedy
Lost and Delirious (2001),Drama|Romance
Rape Me (2000),Crime|Drama|Thriller
The Vertical Ray of the Sun (2000),Drama
Alice (1990),Comedy|Fantasy|Romance
Another Woman (1988),Drama
Beach Blanket Bingo (1965),Comedy|Musical|Romance
Big Deal on Madonna Street (1958),Comedy|Crime
The Cannonball Run (1981),Action|Comedy|Sport
Cannonball Run II (1984),Action|Comedy
Speed Zone (1989),Comedy|Action
Diary of a Chambermaid (1964),Crime|Drama
Donovan's Brain (1953),Sci-Fi|Horror
Donovan's Reef (1963),Adventure|Comedy|Romance
Dr. Goldfoot and the Bikini Machine (1965),Comedy|Sci-Fi
House of Usher (1960),Drama|Fantasy|Horror
Faust (1926),Drama|Fantasy|Horror
The Last Laugh (1924),Drama
The Man Who Shot Liberty Valance (1962),Action|Drama|Western
Salvador (1986),Action|Drama|History
September (1987),Drama
Shadows and Fog (1991),Comedy
Something Wild (1986),Comedy|Crime|Romance
The Sons of Katie Elder (1965),Western
The Thing with Two Heads (1972),Comedy|Sci-Fi
Village of the Giants (1965),Comedy|Sci-Fi
X: The Man with the X-Ray Eyes (1963),Horror|Sci-Fi|Thriller
Nice Dreams (1981),Comedy|Crime
The Day the Earth Caught Fire (1961),Drama|Sci-Fi|Romance
The House by the Cemetery (1981),Horror
Things Are Tough All Over (1982),Comedy|Action
All That Heaven Allows (1955),Drama|Romance
The Barefoot Contessa (1954),Crime|Drama|Mystery
The Blackout (1997),Drama|Mystery|Thriller
Cries & Whispers (1972),Drama
The Entertainer (1960),Drama
The Garden of the Finzi-Continis (1970),Drama|History|War
Howling III (1987),Comedy|Horror
Kiss Me Deadly (1955),Crime|Film-Noir|Mystery
The Lion in Winter (1968),Biography|Drama|History
The Misfits (1961),Drama|Romance|Western
Moby Dick (1956),Adventure|Drama
Popcorn (1991),Comedy|Horror
Rembrandt (1936),Biography|Drama
Sweet Smell of Success (1957),Drama|Film-Noir
Written on the Wind (1956),Drama
The 10th Victim (1965),Action|Sci-Fi
Colonel Redl (1985),Biography|Drama|History
Obsession (1976),Drama|Mystery|Thriller
Suspiria (1977),Horror
The Chinese Connection (1972),Action|Drama|Romance
Christiane F. (1981),Biography|Drama
The Big Boss (1971),Action|Crime|Drama
Game of Death (1978),Action|Crime|Drama
The Last Dragon (1985),Action|Comedy|Drama
Outland (1981),Action|Crime|Sci-Fi
The Way of the Dragon (1972),Action|Adventure|Crime
T-Rex: Back to the Cretaceous (1998),Adventure|Family|Fantasy
Final Fantasy: The Spirits Within (2001),Animation|Action|Adventure
Legally Blonde (2001),Comedy|Romance
The Score (2001),Crime|Drama|Thriller
Adanggaman (2000),Drama
Bully (2001),Biography|Crime|Drama
Jump Tomorrow (2001),Drama|Romance|Comedy
Made (2001),Comedy|Crime|Drama
Michael Jordan to the Max (2000),Documentary|Sport
More (1998),Sci-Fi|Short|Animation
Thrill Ride: The Science of Fun (1997),Adventure|Documentary|Short
Haunted Castle (2001),Animation|Short|Horror
All Access: Front Row. Backstage. Live! (2001),Documentary|Music
Africa: The Serengeti (1994),Documentary|Short
Alaska: Spirit of the Wild (1998),Documentary|Short
Encounter in the Third Dimension (1999),Short|Adventure|Comedy
Siegfried & Roy: The Magic Box (1999),Documentary|Biography
18 Again! (1988),Comedy|Fantasy|Romance
1969 (1988),Drama|War
The Accidental Tourist (1988),Drama|Romance
The Accused (1988),Drama
Above the Law (1988),Action|Crime|Drama
The Adventures of Baron Munchausen (1988),Adventure|Comedy|Fantasy
Apartment Zero (1988),Drama|Thriller
Appointment with Death (1988),Crime|Drama|Mystery
Ariel (1988),Comedy|Crime|Romance
Arthur 2: On the Rocks (1988),Comedy|Romance
Bad Dreams (1988),Horror|Thriller
Bat*21 (1988),Drama|War
Beaches (1988),Comedy|Drama|Music
The Beast of War (1988),War
Big Business (1988),Comedy
Big Top Pee-wee (1988),Adventure|Comedy|Romance
Biloxi Blues (1988),Comedy|Drama
Bird (1988),Biography|Drama|Music
The Blob (1988),Horror|Sci-Fi|Thriller
The Boost (1988),Drama|Romance
"Bright Lights, Big City (1988)",Drama
Caddyshack II (1988),Comedy|Sport
Camille Claudel (1988),Biography|Drama|History
Casual Sex? (1988),Comedy
Clean and Sober (1988),Drama
Cocktail (1988),Comedy|Drama|Romance
Colors (1988),Action|Crime|Drama
Coming to America (1988),Comedy|Romance
The Couch Trip (1988),Comedy
Criminal Law (1988),Crime|Thriller
Critters (1986),Action|Comedy|Horror
Critters 2 (1988),Comedy|Horror|Sci-Fi
Critters 3 (1991),Comedy|Horror|Sci-Fi
Crossing Delancey (1988),Comedy|Romance
D.O.A. (1988),Mystery|Thriller
Dead Heat (1988),Action|Comedy|Horror
The Dead Pool (1988),Action|Crime|Mystery
Dirty Rotten Scoundrels (1988),Comedy|Crime
Drowning by Numbers (1988),Comedy|Drama
Elvira: Mistress of the Dark (1988),Comedy|Horror
Ernest Saves Christmas (1988),Comedy|Family|Fantasy
Everybody's All-American (1988),Drama|Romance|Sport
Feds (1988),Comedy|Crime
For Keeps? (1988),Comedy|Drama|Romance
Frantic (1988),Crime|Drama|Mystery
Fresh Horses (1988),Drama
Gorillas in the Mist (1988),Biography|Drama
The Great Outdoors (1988),Comedy
Heartbreak Hotel (1988),Comedy|Musical|Romance
High Spirits (1988),Comedy|Fantasy
Hot to Trot (1988),Comedy|Fantasy
The House on Carroll Street (1988),Thriller
Howling IV: The Original Nightmare (1988),Horror
Imagine: John Lennon (1988),Documentary|Biography|Music
Johnny Be Good (1988),Comedy|Sport
Lady in White (1988),Fantasy|Horror|Mystery
The Lair of the White Worm (1988),Comedy|Horror
The Land Before Time (1988),Animation|Adventure|Drama
License to Drive (1988),Comedy
Little Nikita (1988),Drama|Thriller
Masquerade (1988),Drama|Romance|Thriller
The Milagro Beanfield War (1988),Comedy|Fantasy|Drama
Moon Over Parador (1988),Comedy|Romance
Moving (1988),Comedy
My Stepmother Is an Alien (1988),Comedy|Sci-Fi
A Night in the Life of Jimmy Reardon (1988),Comedy|Drama|Romance
Off Limits (1988),Action|Thriller|War
Bagdad Cafe (1987),Comedy|Drama
Permanent Record (1988),Drama|Music|Romance
Red Heat (1988),Action|Comedy|Crime
Return of the Living Dead II (1988),Comedy|Horror|Sci-Fi
The Return of the Living Dead (1985),Comedy|Horror
Return to Snowy River (1988),Adventure|Drama|Western
The Man from Snowy River (1982),Adventure|Drama|Family
Rocket Gibraltar (1988),Drama
Running on Empty (1988),Crime|Drama|Music
Salome's Last Dance (1988),Biography|Comedy|Drama
Salsa (1988),Romance|Music
Satisfaction (1988),Comedy|Music|Romance
The Serpent and the Rainbow (1988),Fantasy|Horror
Shakedown (1988),Action|Crime|Drama
Shoot to Kill (1988),Action|Adventure|Crime
Short Circuit 2 (1988),Comedy|Drama|Family
Short Circuit (1986),Comedy|Family|Sci-Fi
Spoorloos (1988),Crime|Mystery|Thriller
Stormy Monday (1988),Crime|Drama|Music
Sunset (1988),Crime|Mystery|Thriller
Sweet Hearts Dance (1988),Comedy|Drama|Romance
Switching Channels (1988),Comedy|Crime
The Telephone (1988),Comedy|Drama
"Tetsuo, the Iron Man (1989)",Horror|Sci-Fi
They Live (1988),Action|Horror|Sci-Fi
To Kill a Priest (1988),Drama|History|Thriller
Torch Song Trilogy (1988),Comedy|Drama|Romance
Track 29 (1988),Drama|Mystery
Tucker: The Man and His Dream (1988),Biography|Drama
Twins (1988),Comedy|Crime
Vice Versa (1988),Comedy|Fantasy
Watchers (1988),Action|Horror|Sci-Fi
Waxwork (1988),Comedy|Horror
Without a Clue (1988),Comedy|Crime|Mystery
Young Einstein (1988),Comedy|History
Always (1989),Fantasy|Romance
American Ninja (1985),Action|Adventure|Romance
American Ninja 2: The Confrontation (1987),Action|Drama
American Ninja 3: Blood Hunt (1989),Action|Drama
Best of the Best (1989),Action|Drama|Sport
Best of the Best II (1993),Action|Crime|Drama
The Big Picture (1989),Comedy|Drama|Romance
Bill & Ted's Excellent Adventure (1989),Adventure|Comedy|Music
Black Rain (1989),Action|Crime|Thriller
Blaze (1989),Biography|Drama
Blind Fury (1989),Action|Comedy|Crime
Breaking In (1989),Adventure|Comedy
C.H.U.D. II: Bud the Chud (1989),Comedy|Horror|Sci-Fi
Casualties of War (1989),Crime|Drama|War
Chances Are (1989),Comedy|Fantasy|Romance
Cookie (1989),Comedy|Crime
Cyborg (1989),Action|Sci-Fi|Thriller
Dad (1989),Drama|Comedy
Dead Bang (1989),Action|Crime|Drama
Disorganized Crime (1989),Action|Comedy|Crime
Dream a Little Dream (1989),Comedy|Drama|Romance
The Dream Team (1989),Comedy|Crime|Thriller
A Dry White Season (1989),Drama|Thriller
Earth Girls Are Easy (1988),Comedy|Musical|Romance
Eddie and the Cruisers II: Eddie Lives! (1989),Drama|Music|Romance
Eddie and the Cruisers (1983),Drama|Mystery|Music
Enemies: A Love Story (1989),Comedy|Drama|Romance
Erik the Viking (1989),Comedy|Adventure|Fantasy
The Experts (1989),Comedy
Family Business (1989),Crime|Drama
Farewell to the King (1989),Action|Adventure|Drama
Fat Man and Little Boy (1989),Biography|Drama|History
The Girl in a Swing (1988),Drama|Fantasy|Romance
Gleaming the Cube (1989),Action|Drama|Mystery
Going Overboard (1989),Comedy
Great Balls of Fire! (1989),Biography|Drama|Music
Gross Anatomy (1989),Drama
Happy Together (1989),Comedy|Romance
Harlem Nights (1989),Comedy|Crime|Drama
Her Alibi (1989),Comedy|Crime|Mystery
Homer and Eddie (1989),Comedy|Crime|Drama
How to Get Ahead in Advertising (1989),Comedy|Fantasy
Immediate Family (1989),Drama
In Country (1989),Drama|Romance|War
An Innocent Man (1989),Action|Crime|Drama
Jacknife (1989),Drama
The January Man (1989),Action|Crime|Mystery
Johnny Handsome (1989),Crime|Drama|Thriller
Jesus of Montreal (1989),Drama
K-9 (1989),Action|Comedy|Crime
Kickboxer (1989),Action|Sport|Thriller
Last Exit to Brooklyn (1989),Drama
Lean on Me (1989),Drama
Let It Ride (1989),Comedy|Action
Leviathan (1989),Adventure|Horror|Mystery
Little Monsters (1989),Adventure|Comedy|Family
Lock Up (1989),Crime|Drama|Thriller
Look Who's Talking (1989),Comedy
Loverboy (1989),Comedy
Major League (1989),Comedy|Sport
Meet the Feebles (1989),Comedy|Music|Musical
Millennium (1989),Drama|Mystery|Sci-Fi
Miracle Mile (1988),Action|Drama|Romance
Miss Firecracker (1989),Comedy
New York Stories (1989),Comedy|Drama|Romance
Next of Kin (1989),Action|Crime|Thriller
No Holds Barred (1989),Action|Sport
Old Gringo (1989),Adventure|History|Romance
The Package (1989),Action|Crime|Drama
Parents (1989),Comedy|Horror|Mystery
Penn & Teller Get Killed (1989),Adventure|Comedy
Pink Cadillac (1989),Action|Comedy|Crime
The Punisher (1989),Action|Crime|Drama
Red Scorpion (1988),Action|Adventure
Jurassic Park III (2001),Action|Adventure|Sci-Fi
America's Sweethearts (2001),Comedy|Romance
Brother (2000),Crime|Drama|Thriller
